BOR;AN;nofinesset;nofinessej;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2020;250014008;700004096;1893;35;13;1;1;158;75;44;14;1;1;200;83;14254;1744;2934;6;7;4638;1622;1496;;;;;;;15014;100;4;;;26;83;1;0.67;0;;1;45.78;0;;0;;0;0
PSY2;2020;260000302;260000161;464;;;;;;;;;;;;;10369;;;;;;;0;;;;;;;1785;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;260000823;260003264;11924;50;11;6;16;488;412;137;33;11;32;895;725;44155;2202;1874;167;48;16572;12481;11606;406;254;0;0;903;367;114161;1686;358;27;183;2925;2433;1;2.76;1;7.13;1;13.2;0;;0;;0;0
PSY2;2020;260005277;630786754;4456;17;3;;;51;12;17;3;;;51;12;;;;;;;;3632;30;107;;;56;;30551;179;18;;;570;124;1;0.28;0;;0;;0;;0;;0;0
PSY2;2020;270000573;270000219;15424;55;8;0;47;350;260;61;8;0;59;393;295;84745;877;280;453;454;5908;3667;7166;;1;;;16;24;161301;116;54;321;7897;525;208;1;4.7;1;4.95;1;30.12;0;;0;;0;0
PSY2;2020;270025984;270029275;835;;;;;;;;;;;;;33287;;;;;;;5325;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;270027279;270027881;620;;;;;;;;;;;;;29283;;;;;;;3801;;;;;;;;;;;;;;0;;0;;0;;0;;;;0;0
PSY2;2020;280000050;280000142;920;31;4;0;3;190;159;16;1;0;6;163;155;35053;1831;758;0;4;10472;5152;11420;34;21;0;0;536;120;58560;798;61;0;32;2374;1010;1;4.48;1;34.74;0;0;0;0;0;0;0;0
PSY2;2020;280000084;280000183;630;6;1;;;47;1;6;1;;;51;1;13118;108;133;;;1386;11;2063;;;;;;;16714;70;1;;;139;;1;1;1;0.5;1;15.59;0;;0;;0;0
PSY2;2020;280000696;280000134;939;;;;;;;;;;;;;1731;;;;;;;5674;;;;;;;6913;;;;;;;0;;0;;1;2.71;0;;0;;0;0
PSY2;2020;290000033;290021542;6567;50;7;;;271;75;38;7;;;229;89;51207;1854;382;;;6355;1894;16752;84;13;;;480;46;64307;802;55;;;1608;285;0;;1;23.63;0;;0;;0;;0;0
PSY2;2020;290000058;290000017;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;0;;0;;0;0
PSY2;2020;290000173;290000041;1836;1;1;;;52;6;1;1;;;54;7;11156;98;366;;;1503;405;4351;;;;;21;;25772;;;;;;;1;;1;1;1;;0;;0;;0;0
PSY2;2020;290000363;920030269;647;;;;;;;;;;;;;28804;;;;;;;3584;;;;;;;;;;;;;;0;;1;21;0;;0;;0;;;
PSY2;2020;290000728;750821092;1144;;;;;;;;;;;;;2890;;;;;;;972;;;;;;;2907;;;;;;;1;;0;;0;;0;;0;;0;0
PSY2;2020;290000736;290000991;692;;;;;;;;;;;;;22529;;;;;;;1751;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;290000744;290001007;1183;;;;;;;;;;;;;41380;;;;;;;6953;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;290000785;220020739;370;;;;;;;;;;;;;5922;;;;;;;;;;;;;;296;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;290000918;290000298;10887;68;7;0;0;245;99;57;7;0;0;280;112;56369;3393;350;;;5586;2143;17796;127;;;;143;66;123527;971;74;;;1547;416;1;1.65;1;53.72;1;51.35;0;;0;;0;0
PSY2;2020;290000934;560005746;118;;;;;;;;;;;;;4661;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;290003995;560005746;959;30;;;;11;;194;;;;0;;8843;872;;;;265;;1648;58;;;;35;;15902;418;1;;;112;4;;;;;;;0;;0;;0;0
PSY2;2020;290004324;290000017;226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;;0;;0;;0;;0;0
PSY2;2020;290004340;290000017;1103;43;7;;25;392;39;43;7;;33;455;44;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;0;;0;;0;0
PSY2;2020;2A0000287;2A0000386;5180;78;6;0;14;74;82;95;8;0;15;85;106;36990;4118;1094;0;209;4480;2917;;;;;;;;;;;;;;;1;0.3;0;;0;;1;40.3;0;;0;0
PSY2;2020;2B0000012;2B0000020;2837;0;0;0;0;0;0;0;0;0;0;0;0;9439;0;0;0;0;0;0;1538;0;0;0;0;0;0;36871;0;0;0;0;0;0;1;1;0;;0;;0;;0;;0;1
PSY2;2020;2B0003016;2B0003990;231;;;;;;;;;;;;;17394;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
