BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;070000039;070780119;16;5856;204;2;2482;;;0;0;0;;;0;0;0;16;5856;204;2;2482;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;070000047;070780127;12;4749;450;1;4697;0;0;0;0;0;0;0;0;0;0;12;4749;450;1;4697;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;070000062;070005558;8;2920;158;1;2839;;;0;0;0;;;0;0;0;8;2920;158;1;2839;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;070000070;070780150;20;7300;461;28;4156;;;0;0;0;;;0;0;0;20;7300;461;28;4156;0;0;;;2;;0;;0;;;0;0;;;2;0;0;0;0;1;0;0;0;0;;;;;16;;1939;;;;;
MCO;2020;070000096;070780184;8;2928;496;189;2897;;;0;0;0;;;0;0;0;8;2928;496;189;2897;6;0;;;42;;0;;0;;;6;0;;;42;1;0;0;1;1;0;0;0;0;;60;;;2281;684;296;;1394;63;;
MCO;2020;070000112;070007927;15;5475;237;0;3744;0;;0;0;0;0;;0;0;0;15;5475;237;0;3744;0;3;;;0;;0;;0;;;0;3;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;070000146;070004742;8;2928;76;0;1235;;;0;0;0;;;0;0;0;8;2928;76;0;1235;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;070000179;070780358;146;53290;9889;3205;42351;30;10950;1307;124;7385;22;8030;1180;266;3341;198;72270;12376;3595;53077;10;871;;;14261;16;2149;;0;;;26;3020;;;14261;1;0;1;1;1;1;1;1;1;;180;30;180;27832;3043;64461;0;1743;18931;;
MCO;2020;070000187;070780366;12;4392;375;11;3326;0;0;0;0;0;0;0;0;0;0;12;4392;375;11;3326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2020;070000195;070780374;38;12450;864;4;8276;;;0;0;0;;;0;0;0;38;12450;864;4;8276;0;0;;;0;;0;;0;;;0;0;;;0;1;1;1;0;1;1;0;0;0;;;;;953;761;374;0;1302;0;;
MCO;2020;070000203;070780382;11;4015;146;4;1961;;;0;0;0;;;0;0;0;11;4015;146;4;1961;;0;;;28;;0;;0;;;;0;;;28;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;070000484;070005566;8;2918;416;0;2095;;;0;0;0;;;0;0;0;8;2918;416;0;2095;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;070000609;070005566;142;51830;7926;1586;40798;38;12410;2037;148;8749;16;5840;968;101;3078;196;70080;10931;1835;52625;10;431;;;3612;9;1658;1;303;;;20;2392;;;3612;1;1;0;1;1;1;1;1;1;;;;;;;;;;;;
MCO;2020;070780168;070000088;4;1460;63;0;407;55;20075;846;4;2393;;;0;0;0;59;21535;909;4;2800;;0;;;32;6;3884;;0;;;6;3884;;;32;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
