BOR;AN;nofinesset;nofinessej;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2018;420000010;420780033;1;1;0;0;0;;0;1;336;336;336;1;2;0;0;1035;890;0;43;181;0;2149;259;163;3;81;12;771;72;193;591;180;83457;;77949;76701;76150;59467;13675;209;152;57;242;0;0;0;223;0
SMURSAMU;2018;420000226;420013831;1;1;0;0;0;;0;0;20;30;0;;1;;;440;12;0;;;;452;68;48;1;13;4;372;;;336;36;;;;;;;;;;;;;;;;
SMURSAMU;2018;420000267;420013831;1;1;0;0;0;;0;0;168;168;0;;2;;;462;55;0;;;;517;146;60;5;17;67;308;23;74;189;119;;;;;;;;;;;;;;;;
SMURSAMU;2018;420785354;420784878;1;1;0;0;0;;0;1;504;504;420;4;5;1;;2518;1240;27;575;562;;4922;461;213;5;5;377;2199;226;401;1612;587;264851;;246042;236382;138049;127433;74430;360;168;192;588;0;35;;1857;0
SMURSAMU;2018;430000117;430000018;1;1;0;0;0;;0;1;268;252;0;1;3;;;1303;498;0;170;188;;2159;330;227;0;12;91;1143;104;270;864;279;149348;;149312;149312;115708;89459;33640;168;168;;280;1;6;;417;0
SMURSAMU;2018;430000190;430000034;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;335;172;0;0;0;0;507;60;49;2;9;0;275;24;55;140;135;;;;;;;;;;;;;;;;
SMURSAMU;2018;440000016;440000057;1;1;0;0;0;;0;0;336;336;336;;;;;1229;55;0;;;;1284;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;440000271;440000289;1;1;0;0;0;;0;1;406;504;504;3;5;;;2672;1358;494;228;512;;5264;;225;5;140;0;3671;414;411;2451;1220;551248;;542413;504104;304447;236886;114370;682;252;324;986;1;0;0;1114;0
SMURSAMU;2018;440000503;440000313;1;1;0;0;0;;0;0;168;168;168;;2;;;403;20;;;;;423;172;53;;16;103;251;15;43;130;121;;;;;;;;;;;;;;;;
SMURSAMU;2018;440053007;440000289;1;0;0;0;1;440000289;0;0;45;45;45;0;1;;;91;44;;;;;135;;12;3;;;100;10;15;28;72;;;;;;;;;;;;;;;;
SMURSAMU;2018;450000047;450000096;1;1;0;0;0;;0;0;744;168;11;0;1;0;0;741;;;;;;741;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;450000062;450000104;1;1;0;0;0;;0;0;168;168;168;;2;;;1105;5;;;;;1110;397;107;3;31;256;757;66;188;699;58;;;;;;;;;;;;;;;;
SMURSAMU;2018;450000070;450000112;1;1;0;0;0;;0;0;168;168;168;;2;;;661;4;0;0;0;0;665;136;60;11;41;278;450;;;220;230;;;;;;;;;;;;;;;;
SMURSAMU;2018;450002613;450000088;1;1;0;1;0;;0;1;504;504;504;3;6;1;0;3106;611;157;212;607;0;4693;1296;236;16;218;940;1944;148;237;1328;616;283091;;283091;283091;183585;151685;19638;384;336;48;542;0;0;;2587;0
SMURSAMU;2018;460000045;460780083;1;1;0;0;0;;0;0;39;35;35;0;1;0;0;259;14;;;3;;276;81;32;;11;44;176;10;30;138;38;;;;;;;;;;;;;;;;
SMURSAMU;2018;460000052;460780091;1;1;0;0;0;;0;0;50;94;50;;;;;426;31;;;;;457;219;55;0;18;149;237;19;218;88;149;;;;;;;;;;;;;;;;
SMURSAMU;2018;460000102;460780208;1;1;0;0;0;;0;0;29;37;0;0;1;0;0;293;1;0;0;0;0;294;195;46;1;18;130;101;4;21;63;38;;;;;;;;;;;;;;;;
SMURSAMU;2018;460000110;460780216;1;1;0;0;0;;0;1;168;203;168;2;3;0;0;769;226;353;;;;1348;229;84;1;62;82;622;45;218;535;87;86000;;86000;85500;45127;45127;13617;168;168;52;168;1;0;;1140;0
SMURSAMU;2018;470000423;470016171;1;1;0;0;0;470016171;0;1;336;168;228;2;2;;;853;746;36;;;;1635;246;108;2;20;99;624;69;177;496;128;154885;;143180;129533;82196;73572;29223;259;259;98;382;0;0;;444;1
SMURSAMU;2018;470000431;470000324;1;1;0;0;0;;0;0;168;168;168;0;1;;;713;;;;;;713;160;123;1;17;19;480;28;90;374;106;;;;;;;;;;;;;;;;
SMURSAMU;2018;470000480;470001660;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;495;24;0;0;0;0;519;127;98;0;29;0;312;14;69;309;3;;;;;;;;;;;;;;;;
SMURSAMU;2018;470016205;470016171;1;0;0;0;1;470016171;0;0;168;168;0;;1;;;450;;;;;;450;184;49;;42;154;205;33;151;72;133;;;;;;;;;;;;;;;;
SMURSAMU;2018;480000017;480780097;1;1;0;0;0;;0;1;168;168;168;3;2;1;0;889;51;;106;;;1046;313;27;45;113;128;634;;;589;45;52084;;49480;;56651;21608;0;168;168;0;252;0;35;0;205;0
SMURSAMU;2018;490000049;490000031;1;1;0;0;0;;0;1;336;420;420;3;3;1;0;2016;1914;807;103;165;0;5005;640;273;3;43;321;1551;118;344;1339;212;281589;;262469;225552;141921;140260;65413;373;233;140;563;1;0;0;1770;0
SMURSAMU;2018;490000635;490000676;1;1;0;0;0;;0;0;168;168;0;;2;;;963;73;;;;;1036;446;136;6;41;263;517;34;90;354;163;;;;;;;;;;;;;;;;
SMURSAMU;2018;490001765;490528452;1;1;0;0;0;;0;0;151;168;168;0;1;0;0;682;43;;;;;725;230;89;;18;123;561;49;104;338;223;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000021;500000054;1;1;0;0;0;;0;0;168;168;168;1;1;1;;522;169;;3;3;;697;222;93;2;32;87;302;26;182;253;49;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000187;500000013;1;1;0;0;0;;0;0;168;168;168;;2;;;731;45;0;22;4;0;802;234;123;2;14;95;606;63;154;542;64;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000260;500000054;1;1;0;0;0;;0;0;168;168;168;1;1;;;348;213;;14;9;4;588;154;78;2;19;55;208;18;51;146;62;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000427;500000096;1;1;0;0;0;;0;0;39;35;0;;1;;;292;41;;;;;333;70;42;1;3;45;261;26;88;69;192;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000450;500000112;1;1;0;0;0;;0;1;168;462;0;0;2;;;309;138;0;5;11;0;463;255;113;10;0;76;75;9;47;64;11;197215;;182679;150648;97966;92659;0;168;168;89;439;1;0;;2197;0
SMURSAMU;2018;500000468;500000013;1;1;0;0;0;;0;0;168;168;168;;2;;;532;142;12;9;3;0;698;215;91;3;15;106;433;48;149;344;89;;;;;;;;;;;;;;;;
SMURSAMU;2018;500000591;500000393;1;1;0;0;0;;0;0;168;168;;;;;;255;198;0;5;0;0;458;283;106;16;0;92;94;17;52;62;32;;;;;;;;;;;;;;;;
