BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;440012128;440003960;1;3;440012128;;;1025720;0;0;1;1;1;1;;;1;0;1;0;270;3471;13;1226;366;77437;276;30383;2154;2499;12;1056;87;760;478;8;447;0;248;0
HAD;2020;440017440;440000057;0;;;;;;1;0;0;0;1;1;1;0;1;0;0;1;80;1865;5;347;716;22070;67;4193;1334;1053;5;335;87;468;203;20;347;0;137;4
HAD;2020;450018528;370001638;0;2;;;;678105;1;1;0;0;;;;;1;1;1;1;90;1071;547;147;30;21736;6420;4550;484;809;465;116;11;94;55;1;32;0;10;0
HAD;2020;450018536;440052041;1;2;450018536;;;660000;1;0;0;0;1;1;0;0;1;0;0;0;190;2209;203;773;289;67611;1611;24853;3203;1522;196;654;76;702;389;17;536;0;254;5
HAD;2020;460000110;460780216;0;;;;;55000;1;1;0;0;1;1;;;1;1;0;1;30;142;5;43;1;3693;70;724;40;120;4;42;1;44;21;0;17;0;8;0
HAD;2020;460007404;460007396;1;4;460007404;460007404;460007404;120000;1;1;0;0;1;1;;;1;0;0;1;50;344;0;163;9;15301;0;6977;385;263;0;129;8;106;43;0;64;0;13;0
HAD;2020;470009358;470009309;1;3;470009358;470009358;470009358;330866;1;0;0;0;1;1;1;0;1;0;0;0;110;1222;5;492;5;37260;46;16201;91;951;5;386;3;417;170;0;261;0;56;0
HAD;2020;480001825;750047367;0;;;;;77000;1;;0;0;1;1;0;0;1;0;0;0;23;194;0;87;10;8624;0;3466;452;135;0;72;9;58;37;2;25;0;17;0
HAD;2020;490000312;490012176;0;;;;;454656;1;1;0;0;1;0;0;0;1;0;1;0;140;2254;29;509;219;34666;211;13189;852;1300;24;403;44;323;181;6;125;0;61;0
HAD;2020;490016334;490016326;1;1;490016334;;;268724;1;1;0;1;1;0;1;0;1;1;1;1;75;1272;0;471;165;21819;0;7312;2646;916;0;423;61;461;302;11;346;0;241;0
