,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
226,60850104,A,1.0,103.43523026477789,Saint-Martin-Le Miracle,06085,Mougins
227,60850105,A,10.0,140.34211470802572,Les Colles-Camp Lauvas-Font de l'Orme,06085,Mougins
228,60850107,A,1.0,97.25633895424544,Valmasque-Notre-Dame de Vie,06085,Mougins
229,60850108,A,1.5,95.15073828563168,Mougins le Haut,06085,Mougins
230,60860000,C,0.0,4.044188467578347,Moulinet (commune non irisée),06086,Moulinet
231,60870000,C,0.0,0.0,Les Mujouls (commune non irisée),06087,Les Mujouls
232,60880101,A,2.0,141.6300524860521,Saleya-Château,06088,Nice
233,60880102,A,0.0,158.58638135398203,Vieux Nice-Sainte-Réparate,06088,Nice
234,60880103,A,5.0,112.78158529296606,Vieux Nice-Visitation,06088,Nice
235,60880201,A,3.0,174.35874080208842,Garibaldi,06088,Nice
236,60880202,A,3.0,140.94234301983914,Port,06088,Nice
237,60880203,A,3.0,156.82875753307323,Cassini,06088,Nice
238,60880204,A,3.0,158.7467082932422,Barla,06088,Nice
239,60880205,A,1.0,156.0771912949028,Riquier-Fontaine de la Ville,06088,Nice
240,60880206,A,6.0,153.3371044776819,Bonaparte,06088,Nice
241,60880301,A,9.0,156.10233472123826,République,06088,Nice
242,60880302,A,0.0,167.72599876806538,Pierre Sola,06088,Nice
243,60880303,A,3.0,159.63615686972187,TNL-Beaumont,06088,Nice
244,60880304,A,10.0,157.34841741459516,Riquier-Arson,06088,Nice
245,60880305,A,1.0,153.07649649682682,Riquier,06088,Nice
246,60880401,A,2.0,77.59851089342494,Mont Boron,06088,Nice
247,60880402,A,0.0,127.8011796325914,Carnot,06088,Nice
248,60880403,A,2.0,102.81352541834987,Mont Alban,06088,Nice
249,60880404,A,0.0,127.5612110642505,Bischoffsheim,06088,Nice
250,60880501,A,0.0,159.5322885849152,Diables Bleus,06088,Nice
251,60880502,A,0.0,152.33755815740415,Saint-Jean d'Angély,06088,Nice
