psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
12,24,99,271,3155816,8.587319412792127e-05
13,20,0,538223,7162884,0.07514054394849895
13,20,20,432779,7162884,0.0604196577803019
13,20,30,572444,7162884,0.07991808885918018
13,20,40,773193,7162884,0.10794436989346749
13,20,50,1111915,7162884,0.15523286430437797
13,20,60,1445365,7162884,0.2017853423285928
13,20,70,1352226,7162884,0.18878233962744614
13,20,80,929973,7162884,0.12983220166625623
13,20,99,6766,7162884,0.0009445915918783552
13,21,0,533888,7332172,0.07281444025044694
13,21,20,453428,7332172,0.061840884256397693
13,21,30,598292,7332172,0.08159819491414004
13,21,40,797585,7332172,0.10877881751819243
13,21,50,1134291,7332172,0.15470054439530334
13,21,60,1468996,7332172,0.20034936441752868
13,21,70,1405134,7332172,0.1916395305511109
13,21,80,933419,7332172,0.12730456950546168
13,21,99,7139,7332172,0.0009736541914183137
13,22,0,536995,7492338,0.07167255401451456
13,22,20,457561,7492338,0.061070522979609305
13,22,30,601007,7492338,0.08021621555247507
13,22,40,801351,7492338,0.1069560663173498
13,22,50,1147375,7492338,0.15313978093353503
13,22,60,1504878,7492338,0.2008555940749069
13,22,70,1478618,7492338,0.19735068012147877
13,22,80,958206,7492338,0.12789145390931375
13,22,99,6347,7492338,0.0008471320968167747
13,23,0,550472,7800469,0.07056909014060565
13,23,20,484003,7800469,0.06204793583565296
13,23,30,626790,7800469,0.08035286083439341
13,23,40,821809,7800469,0.10535379347062337
13,23,50,1188761,7800469,0.15239609310670935
13,23,60,1563526,7800469,0.2004399991846644
13,23,70,1563316,7800469,0.2004130777264803
13,23,80,996105,7800469,0.12769809097376067
13,23,99,5687,7800469,0.0007290587271098699
13,24,0,284770,4086569,0.06968437337042395
13,24,20,255967,4086569,0.06263616251187733
13,24,30,329213,4086569,0.08055975562874382
13,24,40,425240,4086569,0.10405795179281202
13,24,50,618614,4086569,0.1513773534718244
13,24,60,816938,4086569,0.1999080402166218
13,24,70,828882,4086569,0.20283078543394226
13,24,80,523860,4086569,0.1281906655681086
